Iteration,Timestamp,temperature,pressure,residence_time,Measurement #,Value
0,2025-10-23 15:09:28,29.9736884163133,3.280434498388693,210.45607068589948,1,3.0
0,2025-10-23 15:09:29,48.110268302933406,5.259657231852321,266.518064701768,1,3.0
0,2025-10-23 15:09:31,20.0,4.471875915801272,263.6310865678887,1,3.0
0,2025-10-23 15:09:32,37.590827469081134,3.7902023713797988,225.84706612802515,1,3.0
0,2025-10-23 15:09:34,28.374296845008054,2.0,217.52054147953467,1,3.0
0,2025-10-23 15:13:18,42.942301356410944,2.83341602904701,530.7458890637259,1,3.0
0,2025-10-23 15:13:19,42.440313752963704,2.7918436692047464,233.708727816928,1,3.0
0,2025-10-23 15:13:21,43.85226574641622,2.5881469589037094,600.0,1,3.0
0,2025-10-23 15:13:22,41.30286275310134,2.0,600.0,1,3.0
0,2025-10-23 15:13:24,34.356993700594614,2.0,600.0,1,3.0
0,2025-10-28 16:56:55,50.0,6.0,0.2,60.0,1,1.105536975245
0,2025-10-28 16:56:55,50.0,6.0,0.2,60.0,2,1.622354303022
0,2025-10-28 16:56:55,50.0,6.0,0.2,60.0,3,1.7091150090690002
0,2025-10-28 16:56:55,50.0,6.0,0.2,60.0,4,1.719567994977
0,2025-10-28 17:39:44,20.0,3.5001360485399085,0.2,300.0,1,1.426726404739
0,2025-10-28 17:39:44,20.0,3.5001360485399085,0.2,300.0,2,1.336367552678
0,2025-10-28 17:39:44,20.0,3.5001360485399085,0.2,300.0,3,1.259296545173
0,2025-10-28 17:39:44,20.0,3.5001360485399085,0.2,300.0,4,1.243376258299
0,2025-10-28 17:39:44,20.0,3.5001360485399085,0.2,300.0,5,1.332316094816
0,2025-10-28 17:39:44,20.0,3.5001360485399085,0.2,300.0,6,1.3969394806920001
0,2025-10-28 17:39:44,20.0,3.5001360485399085,0.2,300.0,7,1.526077126668
0,2025-10-28 17:39:44,20.0,3.5001360485399085,0.2,300.0,8,1.6636680960249999
0,2025-10-28 17:39:44,20.0,3.5001360485399085,0.2,300.0,9,1.760626461553
0,2025-10-28 17:39:44,20.0,3.5001360485399085,0.2,300.0,10,1.799162134055
0,2025-10-28 17:39:44,20.0,3.5001360485399085,0.2,300.0,11,1.77016058418
0,2025-10-28 17:44:41,20.0,6.0,0.2,60.0,1,1.3511959852147
0,2025-10-28 17:44:41,20.0,6.0,0.2,60.0,2,1.5211987895226
0,2025-10-28 17:44:41,20.0,6.0,0.2,60.0,3,1.4970430816846
0,2025-10-28 17:44:41,20.0,6.0,0.2,60.0,4,1.45438552
