run_id,run_index,timestamp_utc,pattern,group_id,replicate_role,is_sentinel,cleaning_level,point_id,success,objective,error,point_json,point_tags_json,run_metadata_json,output_json,x_applied_charge,x_current_density,x_substrate_concentration
run_000000,0,2026-02-25T11:14:14.452790+00:00,cyclic,startup_cyclic_000_c0,C1,False,0,test_000,True,20.297383678087808,,"{""applied_charge"": 2.9575793759734146, ""current_density"": 4.5561970363488715, ""substrate_concentration"": 131.2763451220835}",{},"{""experiment_name"": ""DDM_Reproducibility_FullHardware_002"", ""phase"": ""startup"", ""workflow"": ""single_objective""}","{""Yield"": 20.297383678087808}",2.9575793759734146,4.5561970363488715,131.2763451220835
run_000001,1,2026-02-25T11:41:33.450452+00:00,cyclic,startup_cyclic_001_c0,C1,False,0,test_001,True,44.81851336628014,,"{""applied_charge"": 2.309210408717809, ""current_density"": 9.890147483272901, ""substrate_concentration"": 66.55262343985164}",{},"{""experiment_name"": ""DDM_Reproducibility_FullHardware_002"", ""phase"": ""startup"", ""workflow"": ""single_objective""}","{""Yield"": 44.81851336628014}",2.309210408717809,9.890147483272901,66.55262343985164
run_000002,2,2026-02-25T11:49:04.188380+00:00,cyclic,startup_cyclic_002_c0,C1,False,0,test_002,True,37.2609840083082,,"{""applied_charge"": 2.4282532043662948, ""current_density"": 6.465797680120996, ""substrate_concentration"": 122.6332879824413}",{},"{""experiment_name"": ""DDM_Reproducibility_FullHardware_002"", ""phase"": ""startup"", ""workflow"": ""single_objective""}","{""Yield"": 37.2609840083082}",2.4282532043662948,6.465797680120996,122.6332879824413
run_000003,3,2026-02-25T12:07:42.073302+00:00,cyclic,startup_cyclic_003_c0,C1,False,0,test_003,True,52.68236009228372,,"{""applied_charge"": 2.092686705491027, ""current_density"": 8.234142419906245, ""substrate_concentration"": 105.16175480170749}",{},"{""experiment_name"": ""DDM_Reproducibility_FullHardware_002"", ""phase"": ""startup"", ""workflow"": ""single_objective""}","{""Yield"": 52.68236009228372}",2.092686705491027,8.234142419906245,105.16175480170749
run_000004,4,2026-02-25T12:17:53.726907+00:00,cyclic,startup_cyclic_004_c0,C1,False,0,test_004,True,57.41729947337153,,"{""applied_charge"": 1.7283419105971058, ""current_density"": 3.165121298240997, ""substrate_concentration"": 77.09051936259738}",{},"{""experiment_name"": ""DDM_Reproducibility_FullHardware_002"", ""phase"": ""startup"", ""workflow"": ""single_objective""}","{""Yield"": 57.41729947337153}",1.7283419105971058,3.165121298240997,77.09051936259738
run_000005,5,2026-02-25T12:32:21.170891+00:00,cyclic,startup_cyclic_000_c0,C2,False,0,test_000,True,9.375029468221891,,"{""applied_charge"": 2.9575793759734146, ""current_density"": 4.5561970363488715, ""substrate_concentration"": 131.2763451220835}",{},"{""experiment_name"": ""DDM_Reproducibility_FullHardware_002"", ""phase"": ""startup"", ""workflow"": ""single_objective""}","{""Yield"": 9.375029468221891}",2.9575793759734146,4.5561970363488715,131.2763451220835
run_000006,6,2026-02-25T13:01:01.471669+00:00,cyclic,startup_cyclic_001_c0,C2,False,0,test_001,True,46.01330437360781,,"{""applied_charge"": 2.309210408717809, ""current_density"": 9.890147483272901, ""substrate_concentration"": 66.55262343985164}",{},"{""experiment_name"": ""DDM_Reproducibility_FullHardware_002"", ""phase"": ""startup"", ""workflow"": ""single_objective""}","{""Yield"": 46.01330437360781}",2.309210408717809,9.890147483272901,66.55262343985164
run_000007,7,2026-02-25T13:08:32.060555+00:00,cyclic,startup_cyclic_002_c0,C2,False,0,test_002,True,27.98758792874758,,"{""applied_charge"": 2.4282532043662948, ""current_density"": 6.465797680120996, ""substrate_concentration"": 122.6332879824413}",{},"{""experiment_name"": ""DDM_Reproducibility_FullHardware_002"", ""phase"": ""startup"", ""workflow"": ""single_objective""}","{""Yield"": 27.98758792874758}",2.4282532043662948,6.465797680120996,122.6332879824413
run_000008,8,2026-02-25T13:26:49.806016+00:00,cyclic,startup_cyclic_003_c0,C2,False,0,test_003,True,59.018480143308025,,"{""applied_charge"": 2.092686705491027, ""current_density"": 8.234142419906245, ""substrate_concentration"": 105.16175480170749}",{},"{""experiment_name"": ""DDM_Reproducibility_FullHardware_002"", ""phase"": ""startup"", ""workflow"": ""single_objective""}","{""Yield"": 59.018480143308025}",2.092686705491027,8.234142419906245,105.16175480170749
run_000009,9,2026-02-25T13:40:00.846901+00:00,cyclic,startup_cyclic_004_c0,C2,False,0,test_004,True,44.095105381392365,,"{""applied_charge"": 1.7283419105971058, ""current_density"": 3.165121298240997, ""substrate_concentration"": 77.09051936259738}",{},"{""experiment_name"": ""DDM_Reproducibility_FullHardware_002"", ""phase"": ""startup"", ""workflow"": ""single_objective""}","{""Yield"": 44.095105381392365}",1.7283419105971058,3.165121298240997,77.09051936259738
