Experiment #,Timestamp,flow_rate,base_concentration,Voltage,substrate_concentration,acid_concentration,Measurement,Yield
1,2026-03-03 18:24:32,0.6293222586507398,223.3406982596526,2.302482313179857,168.00202157392891,174.980440738813,28.48960864771773,28.48960864771773
2,2026-03-03 18:33:49,0.6746644987925333,387.7156167306574,2.4927460458504025,171.71156106775456,432.0364883817608,34.1475993823911,34.1475993823911
3,2026-03-03 18:42:26,0.7542057667278441,90.92985097421077,2.9448207328256872,60.98620254490682,274.3493076272716,2.486129370355355,2.486129370355355
4,2026-03-03 18:53:38,0.5621833727027856,166.42057732416413,2.830753507242078,131.6013304929105,70.92380552871438,42.16110365970477,42.16110365970477
5,2026-03-03 19:02:21,0.742179419238127,313.2623434475175,2.5598477191557736,73.29655703616913,319.0062640583228,47.17932305642813,47.17932305642813
6,2026-03-04 13:08:47,0.881879435023923,425.3265858016186,2.7007314456293017,149.81153614223535,338.52092009873274,42.20972843281542,42.20972843281542
7,2026-03-04 13:19:43,0.5324574525067137,342.4467631339168,2.1278022106600814,109.54722675058355,220.71569677519878,31.19489421471635,31.19489421471635
8,2026-03-04 13:27:03,0.9835101627675678,478.913496845206,2.0703033465698892,199.7686712214744,368.81686725403245,10.550297453781992,10.550297453781992
9,2026-03-04 13:35:07,0.8381451509519764,99.72408721532318,2.6633769773069265,114.32342368231859,119.99577695619936,45.47223881064845,45.47223881064845
10,2026-03-04 13:43:09,0.9029054240860723,247.93486280156932,2.2981805947542537,91.00630246156874,491.0926904143576,34.95455520431325,34.95455520431325
11,2026-03-04 13:54:38,0.5,50.0,3.0,200.0,50.0,39.85839716666666,39.85839716666666
12,2026-03-04 14:06:06,0.5,488.542962739254,2.5418110595658905,95.59691096939719,50.0,52.06203428748773,52.06203428748773
13,2026-03-04 14:17:34,0.5,50.0,2.4364215204348056,50.0,50.0,37.6233978,37.6233978
14,2026-03-04 14:29:42,0.5,50.0,2.51798167222236,109.64879336784563,500.0,0.4419321819083211,0.4419321819083211
15,2026-03-04 14:37:38,0.8582692374454095,491.90780857121314,2.8401156569448216,97.03410426633411,50.0,44.57543045684957,44.57543045684957
16,2026-03-04 14:48:18,0.5537435495966914,483.239850391088,2.4716368762537275,112.88089284361833,50.0,40.40527850583162,40.40527850583162
17,2026-03-04 14:56:43,0.8354849517357106,488.21904186252124,2.0695175682904883,132.13767589546498,52.769860114968694,19.331973257101442,19.331973257101442
18,2026-03-04 15:09:51,0.5,77.33780990319879,2.6265902713404157,50.0,50.888412336674,54.20205693333333,54.20205693333333
19,2026-03-04 15:17:10,0.9839064249929013,492.4291993439225,2.5954524864201463,71.92062423937125,73.52165264063126,55.12448015103592,55.12448015103592
