Experiment #,Timestamp,flow_rate,base_concentration,total_current,substrate_concentration,salt_concentration,Measurement,Yield
1,2026-03-05 15:10:18,0.712359934141086,301.11379118104605,59.1783155107668,121.09542360218258,259.0752913204317,13.376890074075467,13.376890074075467
2,2026-03-05 15:20:10,0.7642254996282867,94.08667433827424,101.37482391905786,66.04257907626715,313.36252711897384,33.872650764945085,33.872650764945085
3,2026-03-05 15:29:34,0.8214621706693555,205.6841407725286,132.79593996255315,148.76013589777358,371.5067056747699,17.473222049574435,17.473222049574435
4,2026-03-05 15:40:55,0.6274253871090276,353.8976451600641,272.2906014707195,124.44648613271802,213.48084506431366,48.606097270991604,48.606097270991604
5,2026-03-05 15:54:26,0.5147804732942444,424.271147786778,223.36805923580943,96.81808048755906,328.1672468553548,41.74734133313777,41.74734133313777
6,2026-03-05 16:03:26,0.8742412907261592,236.80728047152652,179.42192412286263,77.26698573850427,262.89172886460494,48.24635063781162,48.24635063781162
7,2026-03-05 16:11:45,0.9851528262338611,160.0944198404753,301.30472212962377,74.81572900397634,167.07807189631524,51.67597292891693,51.67597292891693
8,2026-03-05 16:21:02,0.8354605752034725,123.11455756616992,125.29997714832052,106.41251486834258,393.6732886950083,24.016573612874637,24.016573612874637
9,2026-03-05 16:31:36,0.6942543723997527,464.98034588173516,242.69436640001183,84.40847852689068,116.07090094385691,54.08090138574244,54.08090138574244
10,2026-03-05 16:43:51,0.5877221466374022,491.00795306006745,201.07158801315992,53.34029850068909,419.17869872451956,34.442198018625625,34.442198018625625
11,2026-03-05 16:54:49,0.6586029246695124,389.3709992414612,161.18414321490826,111.0154140180878,457.37658706825687,36.43842691376991,36.43842691376991
12,2026-03-05 17:03:35,0.9118175322709956,284.96779404185605,256.07900196125223,141.30880250051825,85.30318348817696,34.00939909587285,34.00939909587285
13,2026-03-05 17:16:11,0.5656899341464968,194.14293072490406,330.6163566913588,59.6410418371602,495.6984285227713,7.989906368521776,7.989906368521776
14,2026-03-05 17:24:39,0.9631040373774066,61.62435137090523,318.73434778464724,132.5401415073099,192.7555858950563,46.013701941990995,46.013701941990995
15,2026-03-05 17:34:36,0.7926127832357921,328.6498431179073,74.29169345639059,92.01008059431918,71.5838886785281,23.790785087829654,23.790785087829654
16,2026-03-05 17:48:05,0.5,500.0,226.12715071558105,55.941902130443346,168.98392272905733,22.172070536818737,22.172070536818737
17,2026-03-05 17:57:31,0.8160222991695438,500.0,253.33342358252708,88.30000224199745,50.0,42.03712758497018,42.03712758497018
18,2026-03-05 18:06:11,0.9837737828728699,214.95768374846566,211.32795314909123,50.0,252.50381646093092,59.9851888,59.9851888
19,2026-03-05 18:14:28,1.0,320.14498375679807,153.83534231228907,50.0,50.0,65.15554300000001,65.15554300000001
20,2026-03-05 18:23:24,1.0,500.0,81.33666847241983,50.0,500.0,21.033488533333337,21.033488533333337
21,2026-03-05 18:31:40,1.0,50.0,190.11995000806021,50.0,50.0,58.65489326666666,58.65489326666666
22,2026-03-05 18:39:57,1.0,500.0,184.04430887439977,50.0,50.0,61.19386286666667,61.19386286666667
23,2026-03-05 18:48:13,1.0,500.0,283.4886697678821,50.0,500.0,38.4812622,38.4812622
24,2026-03-05 18:56:29,1.0,500.0,152.32908246087652,50.0,133.32455261842563,58.61886086666668,58.61886086666668
