Experiment #,Timestamp,current_density,applied_charge,substrate_concentration,base_concentration,salt_concentration,Measurement,Yield
1,2026-03-06 12:27:05,7.586445173014796,1.9540806206752468,52.099292527194294,257.33602876523855,155.54686255058357,64.69338737323626,64.69338737323626
2,2026-03-06 12:37:19,8.493289975850667,2.10019165931614,59.7098418340161,262.28208142367276,269.79399483633813,61.38690860248084,61.38690860248084
3,2026-03-06 12:47:14,10.084115334556882,1.836382089754854,77.79282931302748,114.64827005987576,199.7108033898985,56.651405049170876,56.651405049170876
4,2026-03-06 13:01:28,6.243667454055713,1.9034849576214794,73.23014028968313,208.80177399054736,109.29946912387307,59.37151564644111,59.37151564644111
5,2026-03-06 13:10:47,9.84358838476254,2.0340109719533492,62.39390876623095,131.0620760482255,219.55833958147682,59.19011924444128,59.19011924444128
6,2026-03-06 13:19:24,12.63758870047846,2.133623631823661,68.02925782517207,233.08204818964714,228.2315200438812,61.69814818186845,61.69814818186845
7,2026-03-06 13:30:26,5.649149050134274,2.0599526783412596,45.112088426403254,179.3963023341114,175.87364301119945,62.812741894879906,62.812741894879906
8,2026-03-06 13:36:56,14.670203255351355,2.1812564416401834,42.81213386279557,299.6915616286325,241.69638544623663,53.12515436135481,53.12515436135481
9,2026-03-06 13:45:23,11.762903019039529,1.8441991886358429,66.53507909227704,185.76456490975812,131.10923420275526,58.47114499211946,58.47114499211946
10,2026-03-06 13:52:35,13.058108481721447,1.9759421002680617,51.927223790170146,154.67506994875833,296.04119573971445,57.31619831426607,57.31619831426607
11,2026-03-06 14:02:13,6.779274151497183,1.8,51.02374614992643,121.78637801515235,297.23600758264763,51.60040945635524,51.60040945635524
12,2026-03-06 14:13:39,5.499048818300276,2.0064615789168947,47.2257707625925,233.64454443643368,100.0,65.74303386755838,65.74303386755838
13,2026-03-06 14:24:13,5.0,1.9336904147493814,40.0,235.4589921297036,100.0,67.14969799999999,67.14969799999999
14,2026-03-06 14:34:17,5.0,1.8,40.0,243.4185123115116,300.0,53.46690333333333,53.46690333333333
15,2026-03-06 14:44:56,5.0,1.9573778972299773,40.0,300.0,100.0,67.99874141666666,67.99874141666666
16,2026-03-06 15:04:57,5.0,2.1833603984149006,80.0,300.0,100.0,61.263683625,61.263683625
17,2026-03-06 15:11:09,12.089709583751013,1.9550496705091456,40.0,300.0,100.0,62.909498166666665,62.909498166666665
18,2026-03-06 15:21:51,5.0,1.967418769938364,40.0,100.0,187.1430650045488,63.00394691666666,63.00394691666666
19,2026-03-06 15:42:00,5.0,2.2,80.0,100.0,300.0,57.772803333333336,57.772803333333336
20,2026-03-06 15:50:25,15.0,2.06377038082055,80.0,300.0,100.0,55.23426691666666,55.23426691666666
