Experiment #,Timestamp,base_concentration,current_density,applied_charge,substrate_concentration,salt_concentration,Measurement,Yield,Source
1,Reused,294.3439167964553,5.644957629079098,2.125105380488334,52.783834970737615,178.70038929736842,55.14064827806535,55.14064827806535,Reproducibility
2,Reused,207.89472116237454,9.912117986618322,1.8662104937594066,26.946387078519674,193.0330143255261,47.740303020805406,47.740303020805406,Reproducibility
3,Reused,223.767093915506,7.172638144096798,2.0905331519297654,69.66721003727034,114.81838824139476,57.094344656305104,57.094344656305104,Reproducibility
4,Reused,179.02489406547022,8.587313935924996,2.02064701920683,35.438037657872286,278.7822324510323,56.1634612407019,56.1634612407019,Reproducibility
5,Reused,130.4455880796141,4.532097038592798,1.9083620774503895,56.54289492067548,227.57885436337142,53.871117608950215,53.871117608950215,Reproducibility
6,2026-03-10 12:52:55,134.56963733803863,4.64724597392975,2.1829456267518283,28.618726450959187,216.61407877491862,51.89698159857219,51.89698159857219,
7,2026-03-10 13:13:10,220.8635045011377,4.230810083596805,1.9799199316317264,30.331991395216374,161.0349949120777,67.3877367089837,67.3877367089837,
8,2026-03-10 13:22:25,140.09714675554557,7.708423717460086,2.103217531888114,44.312739002041624,149.55297539145943,58.186883758517794,58.186883758517794,
9,2026-03-10 13:36:27,255.1300609545462,5.904722278976073,1.8455432220576986,70.11878253228593,293.70429238732265,47.65129245926178,47.65129245926178,
10,2026-03-10 13:57:09,209.72090499121748,9.697773245697542,1.8275904739377635,69.26815086573367,128.37149582722907,59.084306407038824,59.084306407038824,
11,2026-03-10 14:09:48,222.35754103012852,4.0,1.9829351326590214,39.829892812075144,153.34915349765,64.70560613422833,64.70560613422833,
12,2026-03-10 14:16:06,194.03422579957265,8.830552611217971,1.9659170955138672,26.988843889840425,186.9693442932931,51.626299333919754,51.626299333919754,
13,2026-03-10 14:45:25,246.18959329201346,4.165814482672964,2.175877103570601,61.74001988475289,161.24372656256355,61.14711015178962,61.14711015178962,
14,2026-03-10 14:50:51,242.65248041597613,9.335345033240866,1.827071975162451,25.0,159.4219394006752,47.24280279999999,47.24280279999999,
15,2026-03-10 14:59:24,215.7405150456609,4.042255009363669,1.8234522788790326,25.0,171.0353477906529,56.72376506666665,56.72376506666665,
16,2026-03-10 15:18:25,138.54776825255522,4.0,1.9869448066603514,25.0,287.0647769301762,56.61376693333333,56.61376693333333,
17,2026-03-10 15:28:18,248.33084740623258,4.016381804054134,1.9828856635080334,27.04877856206113,134.84192201069084,59.68124326314579,59.68124326314579,
18,2026-03-10 15:38:26,204.16363906927646,4.193184147097464,2.017620906080875,27.407022071879094,164.9749583829652,61.679210492109924,61.679210492109924,
19,2026-03-10 15:58:55,230.54339419697115,4.397300007256327,2.001977550277756,33.78764900978755,173.30754215021864,62.71727733171032,62.71727733171032,
20,2026-03-10 16:07:58,183.47145164935318,4.176750717920229,1.959573578899438,26.360328308410118,163.53175718440008,60.96207191347089,60.96207191347089,
