run_id,run_index,timestamp_utc,pattern,group_id,replicate_role,is_sentinel,cleaning_level,point_id,success,objective,error,point_json,point_tags_json,run_metadata_json,output_json,x_applied_charge,x_base_concentration,x_current_density,x_salt_concentration,x_substrate_concentration
run_000000,0,2026-03-10T09:00:56.443635+00:00,cyclic,startup_cyclic_000_c0,C1,False,0,test_000,True,52.26141952100727,,"{""applied_charge"": 2.125105380488334, ""base_concentration"": 294.3439167964553, ""current_density"": 5.644957629079098, ""salt_concentration"": 178.70038929736842, ""substrate_concentration"": 52.783834970737615}",{},"{""experiment_name"": ""PDA_salt_galvanostatic_003"", ""phase"": ""startup"", ""workflow"": ""single_objective""}","{""Yield"": 52.26141952100727}",2.125105380488334,294.3439167964553,5.644957629079098,178.70038929736842,52.783834970737615
run_000001,1,2026-03-10T09:15:41.272739+00:00,cyclic,startup_cyclic_001_c0,C1,False,0,test_001,True,47.876088158836225,,"{""applied_charge"": 1.8662104937594066, ""base_concentration"": 207.89472116237454, ""current_density"": 9.912117986618322, ""salt_concentration"": 193.0330143255261, ""substrate_concentration"": 26.946387078519674}",{},"{""experiment_name"": ""PDA_salt_galvanostatic_003"", ""phase"": ""startup"", ""workflow"": ""single_objective""}","{""Yield"": 47.876088158836225}",1.8662104937594066,207.89472116237454,9.912117986618322,193.0330143255261,26.946387078519674
run_000002,2,2026-03-10T09:21:51.413707+00:00,cyclic,startup_cyclic_002_c0,C1,False,0,test_002,True,47.14557070549452,,"{""applied_charge"": 2.0905331519297654, ""base_concentration"": 223.767093915506, ""current_density"": 7.172638144096798, ""salt_concentration"": 114.81838824139476, ""substrate_concentration"": 69.66721003727034}",{},"{""experiment_name"": ""PDA_salt_galvanostatic_003"", ""phase"": ""startup"", ""workflow"": ""single_objective""}","{""Yield"": 47.14557070549452}",2.0905331519297654,223.767093915506,7.172638144096798,114.81838824139476,69.66721003727034
run_000003,3,2026-03-10T09:34:45.350501+00:00,cyclic,startup_cyclic_003_c0,C1,False,0,test_003,True,54.97972608256194,,"{""applied_charge"": 2.02064701920683, ""base_concentration"": 179.02489406547022, ""current_density"": 8.587313935924996, ""salt_concentration"": 278.7822324510323, ""substrate_concentration"": 35.438037657872286}",{},"{""experiment_name"": ""PDA_salt_galvanostatic_003"", ""phase"": ""startup"", ""workflow"": ""single_objective""}","{""Yield"": 54.97972608256194}",2.02064701920683,179.02489406547022,8.587313935924996,278.7822324510323,35.438037657872286
run_000004,4,2026-03-10T09:41:50.664695+00:00,cyclic,startup_cyclic_004_c0,C1,False,0,test_004,True,54.23021343887301,,"{""applied_charge"": 1.9083620774503895, ""base_concentration"": 130.4455880796141, ""current_density"": 4.532097038592798, ""salt_concentration"": 227.57885436337142, ""substrate_concentration"": 56.54289492067548}",{},"{""experiment_name"": ""PDA_salt_galvanostatic_003"", ""phase"": ""startup"", ""workflow"": ""single_objective""}","{""Yield"": 54.23021343887301}",1.9083620774503895,130.4455880796141,4.532097038592798,227.57885436337142,56.54289492067548
run_000005,5,2026-03-10T09:56:27.258449+00:00,cyclic,startup_cyclic_000_c0,C2,False,0,test_000,True,56.09059367591128,,"{""applied_charge"": 2.125105380488334, ""base_concentration"": 294.3439167964553, ""current_density"": 5.644957629079098, ""salt_concentration"": 178.70038929736842, ""substrate_concentration"": 52.783834970737615}",{},"{""experiment_name"": ""PDA_salt_galvanostatic_003"", ""phase"": ""startup"", ""workflow"": ""single_objective""}","{""Yield"": 56.09059367591128}",2.125105380488334,294.3439167964553,5.644957629079098,178.70038929736842,52.783834970737615
run_000006,6,2026-03-10T10:09:08.180791+00:00,cyclic,startup_cyclic_001_c0,C2,False,0,test_001,True,46.72916136515227,,"{""applied_charge"": 1.8662104937594066, ""base_concentration"": 207.89472116237454, ""current_density"": 9.912117986618322, ""salt_concentration"": 193.0330143255261, ""substrate_concentration"": 26.946387078519674}",{},"{""experiment_name"": ""PDA_salt_galvanostatic_003"", ""phase"": ""startup"", ""workflow"": ""single_objective""}","{""Yield"": 46.72916136515227}",1.8662104937594066,207.89472116237454,9.912117986618322,193.0330143255261,26.946387078519674
run_000007,7,2026-03-10T10:15:18.378349+00:00,cyclic,startup_cyclic_002_c0,C2,False,0,test_002,True,62.64608521472046,,"{""applied_charge"": 2.0905331519297654, ""base_concentration"": 223.767093915506, ""current_density"": 7.172638144096798, ""salt_concentration"": 114.81838824139476, ""substrate_concentration"": 69.66721003727034}",{},"{""experiment_name"": ""PDA_salt_galvanostatic_003"", ""phase"": ""startup"", ""workflow"": ""single_objective""}","{""Yield"": 62.64608521472046}",2.0905331519297654,223.767093915506,7.172638144096798,114.81838824139476,69.66721003727034
run_000008,8,2026-03-10T10:28:12.242111+00:00,cyclic,startup_cyclic_003_c0,C2,False,0,test_003,True,56.3658811834992,,"{""applied_charge"": 2.02064701920683, ""base_concentration"": 179.02489406547022, ""current_density"": 8.587313935924996, ""salt_concentration"": 278.7822324510323, ""substrate_concentration"": 35.438037657872286}",{},"{""experiment_name"": ""PDA_salt_galvanostatic_003"", ""phase"": ""startup"", ""workflow"": ""single_objective""}","{""Yield"": 56.3658811834992}",2.02064701920683,179.02489406547022,8.587313935924996,278.7822324510323,35.438037657872286
run_000009,9,2026-03-10T10:35:18.158084+00:00,cyclic,startup_cyclic_004_c0,C2,False,0,test_004,True,50.82022366732295,,"{""applied_charge"": 1.9083620774503895, ""base_concentration"": 130.4455880796141, ""current_density"": 4.532097038592798, ""salt_concentration"": 227.57885436337142, ""substrate_concentration"": 56.54289492067548}",{},"{""experiment_name"": ""PDA_salt_galvanostatic_003"", ""phase"": ""startup"", ""workflow"": ""single_objective""}","{""Yield"": 50.82022366732295}",1.9083620774503895,130.4455880796141,4.532097038592798,227.57885436337142,56.54289492067548
run_000010,10,2026-03-10T10:49:54.317341+00:00,cyclic,startup_cyclic_000_c0,C3,False,0,test_000,True,57.069931637277506,,"{""applied_charge"": 2.125105380488334, ""base_concentration"": 294.3439167964553, ""current_density"": 5.644957629079098, ""salt_concentration"": 178.70038929736842, ""substrate_concentration"": 52.783834970737615}",{},"{""experiment_name"": ""PDA_salt_galvanostatic_003"", ""phase"": ""startup"", ""workflow"": ""single_objective""}","{""Yield"": 57.069931637277506}",2.125105380488334,294.3439167964553,5.644957629079098,178.70038929736842,52.783834970737615
run_000011,11,2026-03-10T11:02:35.343672+00:00,cyclic,startup_cyclic_001_c0,C3,False,0,test_001,True,48.6156595384277,,"{""applied_charge"": 1.8662104937594066, ""base_concentration"": 207.89472116237454, ""current_density"": 9.912117986618322, ""salt_concentration"": 193.0330143255261, ""substrate_concentration"": 26.946387078519674}",{},"{""experiment_name"": ""PDA_salt_galvanostatic_003"", ""phase"": ""startup"", ""workflow"": ""single_objective""}","{""Yield"": 48.6156595384277}",1.8662104937594066,207.89472116237454,9.912117986618322,193.0330143255261,26.946387078519674
run_000012,12,2026-03-10T11:08:45.439258+00:00,cyclic,startup_cyclic_002_c0,C3,False,0,test_002,True,61.49137804870033,,"{""applied_charge"": 2.0905331519297654, ""base_concentration"": 223.767093915506, ""current_density"": 7.172638144096798, ""salt_concentration"": 114.81838824139476, ""substrate_concentration"": 69.66721003727034}",{},"{""experiment_name"": ""PDA_salt_galvanostatic_003"", ""phase"": ""startup"", ""workflow"": ""single_objective""}","{""Yield"": 61.49137804870033}",2.0905331519297654,223.767093915506,7.172638144096798,114.81838824139476,69.66721003727034
run_000013,13,2026-03-10T11:21:39.966891+00:00,cyclic,startup_cyclic_003_c0,C3,False,0,test_003,True,57.144776456044546,,"{""applied_charge"": 2.02064701920683, ""base_concentration"": 179.02489406547022, ""current_density"": 8.587313935924996, ""salt_concentration"": 278.7822324510323, ""substrate_concentration"": 35.438037657872286}",{},"{""experiment_name"": ""PDA_salt_galvanostatic_003"", ""phase"": ""startup"", ""workflow"": ""single_objective""}","{""Yield"": 57.144776456044546}",2.02064701920683,179.02489406547022,8.587313935924996,278.7822324510323,35.438037657872286
run_000014,14,2026-03-10T11:28:45.226033+00:00,cyclic,startup_cyclic_004_c0,C3,False,0,test_004,True,56.56291572065467,,"{""applied_charge"": 1.9083620774503895, ""base_concentration"": 130.4455880796141, ""current_density"": 4.532097038592798, ""salt_concentration"": 227.57885436337142, ""substrate_concentration"": 56.54289492067548}",{},"{""experiment_name"": ""PDA_salt_galvanostatic_003"", ""phase"": ""startup"", ""workflow"": ""single_objective""}","{""Yield"": 56.56291572065467}",1.9083620774503895,130.4455880796141,4.532097038592798,227.57885436337142,56.54289492067548
