Experiment #,Timestamp,temperature,pressure,residence_time,Measurement,Yield,Source
1,Reused,49.15158751946829,3.096638419386065,510.1264565860008,146.218423,146.218423,Reused:TFDM optimization test one#0
2,Reused,38.56506408732589,4.115092096064531,468.6397823157182,141.51932833333333,141.51932833333333,Reused:TFDM optimization test one#1
3,Reused,44.38878439752053,5.681519602653804,499.32768387721296,150.19150060047963,150.19150060047963,Reused:TFDM optimization test one#2
4,Reused,26.97368029059364,3.504151510234061,383.0184192129063,165.00009266666666,165.00009266666666,Reused:TFDM optimization test one#3
5,Reused,43.2186814566789,3.755513759008209,532.1270015574636,153.80835966666666,153.80835966666666,Reused:TFDM optimization test one#4
6,Reused,43.89628960580699,2.733739159464655,494.2516801309293,157.404212,157.404212,Reused:TFDM optimization test one#5
7,2025-10-23 15:16:56,24.086600824996772,3.550872173726568,344.8001790818386,300.0,300.0,
8,2025-10-23 15:16:57,22.41297841061025,3.2788683545962445,322.4785369309475,300.0,300.0,
9,2025-10-23 15:16:59,22.46286981021961,4.67896435530829,334.2967148058009,300.0,300.0,
10,2025-10-23 15:17:00,20.0,2.0,120.0,299.99999999999994,299.99999999999994,
11,2025-10-23 15:17:02,23.482415854214697,2.0,120.0,299.99999999999994,299.99999999999994,
12,2025-10-23 15:17:03,23.527350493443834,2.0,157.90668410940296,300.0,300.0,
13,2025-10-23 15:17:05,20.992573664972486,6.0,600.0,300.0,300.0,
14,2025-10-23 15:17:06,33.52664483445112,6.0,120.0,299.99999999999994,299.99999999999994,
15,2025-10-23 15:17:08,32.40592445760373,2.0,600.0,300.0,300.0,
