Experiment #,Timestamp,flow_rate,base_concentration,Voltage,substrate_concentration,acid_concentration,Measurement,Yield
1,2026-02-16 14:04:47,0.8304670364169725,247.49529788842355,2.8585979199113822,154.6052043589046,92.37980654944229,2.5872350265223254,2.5872350265223254
2,2026-02-16 14:04:48,0.25694483636584253,134.7448886651083,2.0312835129016444,66.59442013433049,329.0671789827333,6.006509241962655,6.006509241962655
3,2026-02-16 14:04:49,0.9995664319181409,282.4067311860384,2.095199086960864,159.17649484530776,489.49883519746516,2.5129338373026204,2.5129338373026204
4,2026-02-16 14:04:50,0.4764455435818687,463.2988529819994,2.781294035431516,66.58826164941658,498.66559602690785,6.007064760242238,6.007064760242238
5,2026-02-16 14:04:51,0.4051101456355238,473.69248553214453,2.1206553374436865,184.41831236354454,95.17804054241418,2.168982000071004,2.168982000071004
6,2026-02-16 14:04:53,0.8750939153414198,73.38283990929692,2.924841869018062,64.86697123698133,429.60872821898874,6.166466421542369,6.166466421542369
7,2026-02-16 14:04:54,0.28368296454424674,245.7936770013671,2.992375564055837,183.7515899382371,386.8736087556272,2.176851912598137,2.176851912598137
8,2026-02-16 14:04:55,0.5443635506987079,465.75518024544346,2.5789775247502424,50.69281982649914,67.34389969554607,7.890663833044541,7.890663833044541
9,2026-02-16 14:04:56,0.4398884545949512,63.52456044253046,2.118953310740211,187.52726114437937,194.68984616704927,2.133023207180717,2.133023207180717
10,2026-02-16 14:04:58,0.8236026644554257,444.51985876907867,2.9016418535664386,197.68529123761311,492.0650073970396,2.023418118241328,2.023418118241328
11,2026-02-16 14:04:59,0.25,500.0,2.0,50.0,50.0,8.0,8.0
12,2026-02-16 14:05:00,0.25,500.0,2.0,50.0,500.0,8.0,8.0
13,2026-02-16 14:05:01,1.0,500.0,2.0,50.0,500.0,8.0,8.0
14,2026-02-16 14:05:03,0.25,50.0,2.0,50.0,500.0,8.0,8.0
15,2026-02-16 14:05:04,1.0,50.0,2.0,50.0,50.0,8.0,8.0
16,2026-02-16 14:05:05,0.25,50.0,3.0,50.0,500.0,8.0,8.0
17,2026-02-16 14:05:06,1.0,50.0,2.0,50.0,500.0,8.0,8.0
18,2026-02-16 14:05:07,1.0,500.0,3.0,50.0,500.0,8.0,8.0
19,2026-02-16 14:05:09,1.0,500.0,3.0,50.0,50.0,8.0,8.0
20,2026-02-16 14:05:10,0.25,50.0,3.0,50.0,50.0,8.0,8.0
